MACHINE RISING AIR ,AIRPLANE,TRANSPORTATION
AIR ANIMAL,BIRD,CHIRP CHIRP
WATER MACHINE,BOAT,TRANSPORTATION
FIRE WATER INSIDE MACHINE,GASOLINE,FUEL
WATER LOWERING EARTH,GROUND WATER,WELL
FIRE WATER INSIDE EARTH ,MAGMA,GEOLOGY
WATER INSIDE ANIMAL,BLOOD,BIOLOGY
MACHINE LOWERING WATER ,SUBMARINE,TRANSPORTATION
FIRE WATER INSIDE ANIMAL,MAMMAL,ANIMAL TYPE
RISING RISING RISING EARTH ,PLANET,ORBIT
LOWERING EARTH FIRE ,GEOTHERMAL,ENERGY SOURCE
WATER ANIMAL,FISH,ANIMAL TYPE
WATER FIRE AIR,STEAM,VAPOR
FIRE AIR RISING MACHINE,HOT AIR BALLOON,TRANSPORTATION
AIR INSIDE ANIMAL,OXYGEN,BREATHE
WATER LOWERING LOWERING ,WATERFALL,GEOLOGICAL FEATURE
EARTH WATER LOWERING,MUDSLIDE,DISASTER
FIRE MACHINE,FIRE ENGINE,VEHICLE
FIRE AIR ,SMOKE,CLOUD
FIRE WATER EARTH RISING,VOLCANO,VESUVIUS
ANIMAL INSIDE EARTH,MOLE,TUNNELS
EARTH ANIMAL ANIMAL,ZOO/ECOSYSTEM,INTERCONNECTED
FIRE ANIMAL RISING AIR ,DRAGON,MYTHOLOGICAL
WATER RISING LOWERING FIRE,WAVE ENERGY,ENERGY SOURCE
WATER LOWERING FIRE,HYDROELECTRICITY,ENERGY SOURCE
WATER LOWERING FIRE MACHINE ,TURBINE,GENERATOR
MACHINE LOWERING RISING EARTH,SHOVEL,TOOL
AIR FIRE,WIND ENERGY,ENERGY SOURCE
AIR FIRE MACHINE,WINDMILL,GENERATOR
AIR FIRE MACHINE ANIMAL ,WIND FARM,ENERGY FIELD
WATER ANIMAL FIRE,ELECTRIC EEL,SHOCKING
FIRE AIR MACHINE INSIDE ,FURNACE,HOME
MACHINE LOWERING INSIDE EARTH ,OIL WELL,DRILL
FIRE WATER RISING,GEYSER,GEOLOGICAL FEATURE
AIR INSIDE ANIMAL RISING,BELCH,BIOLOGICAL PROCESS
AIR INSIDE EARTH,NATURAL GAS,ENERGY SOURCE
FIRE FIRE WATER ,BOIL,TEA TIME
RISING LOWERING EARTH ANIMAL ,BUNNY ,WHATS UP DOC
RISING LOWERING WATER EARTH ANIMAL,FROG,RIBBIT
RISING LOWERING RISING LOWERING WATER,TIDE,EBB AND FLOW
LOWERING RISING LOWERING AIR MACHINE,HELICOPTER,HOVERING
LOWERING RISING LOWERING RISING MACHINE,SPRING,BOING BOING
LOWERING INSIDE EARTH,CAVE/MINE,SPELUNK
LOWERING INSIDE EARTH AIR ANIMAL,BAT,SONAR
WATER LOWERING FIRE MACHINE,FIRE TRUCK,EXTINGUISH
INSIDE MACHINE FIRE AIR LOWERING,EXHAUST FUMES,COUGH COUGH
EARTH INSIDE ANIMAL LOWERING WATER,DIGESTION,CHEW SWALLOW
RISING RISING EARTH,MOUNTAIN,GEOLOGICAL FEATURE
RISING RISING AIR MACHINE,ROCKET,BLAST OFF
AIR INSIDE FIRE,OXYGEN,BREATHE
AIR ANIMAL INSIDE MACHINE ,PARROT PARAKEET,PET
EARTH ANIMAL INSIDE MACHINE ,ZOO ANIMAL,ATTRACTION
INSIDE INSIDE INSIDE RISING,ELEMENT,PERIODIC TABLE
WATER EARTH,BEACH SHORE,SANDY
BIG COLD WATER EARTH,GLACIER,GEOLOGICAL FEATURE
SMALL SMALL MACHINE,MICROCHIP,TECHNOLOGY
RISING RISING BIG COLD EARTH,ICE OR GAS GIANT,PLANET TYPE
BIG ANIMAL COLD EARTH,POLAR BEAR,GROWL
COLD INSIDE MACHINE ,REFRIGERATOR OR FREEZER,APPLIANCE
SMALL ANIMAL INSIDE EARTH,MOLE,TUNNELS
SMALL SMALL ANIMAL AIR,INSECT,BUZZ
BIG BIG BIG WATER,OCEAN,BODY OF WATER
EARTH LOWERING BIG BIG WATER,OCEAN FLOOR,THE DEEP
BIG BIG WATER,SEA,BODY OF WATER
BIG BIG BIG EARTH,CONTINENT,LAND MASS
BIG BIG EARTH,COUNTRY,ON THE MAP
ANIMAL COLD WATER INSIDE,COLD BLOODED ANIMAL,ANIMAL TYPE
WATER SMALL EARTH WATER,ISLAND,BODY OF LAND
SMALL EARTH BIG BIG WATER,ISLAND ,BODY OF LAND
COLD COLD SMALL WATER,ICE CUBE,CLINK IN THE DRINK
COLD COLD,FROZEN OR ICE,BRRRRRRRR
BIG WATER,LAKE,BODY OF WATER
COLD AIR MACHINE,AIR CONDITIONER,APPLIANCE
SMALL FIRE AIR MACHINE,BLOW DRYER,HOT HAIR
SMALL FIRE WATER INSIDE MACHINE ,THERMOS,KEEPS WARM
SMALL MACHINE FIRE FIRE WATER,TEA KETTLE,HOT POT
SMALL FIRE MACHINE,MICROWAVE OVEN,SMALL APPLIANCE
BIG BIG ANIMAL EARTH,ELEPHANT,TUSK
BIG BIG ANIMAL WATER,WHALE ,MOBY
BIG BIG WATER ANIMAL,WHALE ,MOBY
BIG BIG AIR RISING LOWERING,HURRICANE,STORM
BIG BIG COLD AIR,POLAR VORTEX,STORM
SMALL WATER MACHINE,SQUIRT GUN,TOY
BIG BIG FIRE EARTH,FOREST FIRE,NATURAL DISASTER
BIG BIG WATER EARTH,FLOOD,NATURAL DISASTER
BIG BIG BIG COLD EARTH,ANTARCTICA,LAND MASS
SMALL WATER MACHINE,FAUCET OR HOSE OR PUMP,DISPENSER
SMALL COLD WATER AIR LOWERING ,SNOWFLAKE OR HAIL,WEATHER
SMALL COLD FIRE,DEGREE TEMPERATURE,WEATHER MEASUREMENT
SMALL FIRE MACHINE,CANDLE,WAX
SMALL AIR WATER LOWERING,RAINDROP,WEATHER
SMALL FIRE MACHINE ,LIGHTBULB,ELECTRIC
SMALL FIRE MACHINE INSIDE ANIMAL,PACEMAKER,CLOSE TO THE HEART
BIG BIG  BIG AIR,ATMOSPHERE,SKY OR AIR
BIG BIG AIR RISING LOWERING,WIND,WHOOSH
SMALL AIR RISING LOWERING,BREATHING,IN AND OUT
BIG RISING EARTH BIG,TREE,PLANT
SMALL EARTH,STONE,HARD AS A 
SMALL SMALL EARTH,SAND OR DUST,PARTICLES
SMALL SMALL SMALL EARTH,ATOM,TINY BIT OF MATTER
SMALL SMALL SMALL SMALL EARTH,SUBATOMIC PARTICLE,TINY BIT OF MATTER
BIG EARTH LOWERING,AVALANCHE OR MUDSLIDE,DISASTER
RISING RISING BIG BIG EARTH,JUPITER,PLANET
EARTH BIG RISING LOWERING,EARTHQUAKE,DISASTER
BIG AIR WATER LOWERING,SHIP,TRANSPORTATION
BIG AIR COLD WATER LOWERING,BLIZZARD,SEVERE WEATHER
SMALL MACHINE RISING AIR ,DRONE,SURVEILLANCE
ANIMAL EARTH PROCESS LOWERING,DECOMPOSITION,BIOLOGICAL PROCESS
FAST FAST EARTH ANIMAL,CHEETAH,BIG CAT
EARTH FIRE PROCESS AIR,COMBUSTION,UP IN SMOKE
WATER COLD COLD PROCESS,FREEZE,SOLIDIFY
COLD FIRE PROCESS WATER,MELT,ICE IN THE SUN
FAST MACHINE RISING AIR,JET,ZOOM
INSIDE MACHINE FIRE PROCESS,INTERNAL COMBUSTION ENGINE,VROOM
PROCESS SLOW RISING FAST,ACCELERATION,SPEED
PROCESS FAST LOWERING SLOW,DECELERATION,BRAKING
ANIMAL PROCESS ANIMAL,METAMORPHASIS,CHANGE
FAST WATER EARTH,RIVER RAPIDS,GEOLOGICAL FEATURE
FAST EARTH MACHINE,CAR ,TRANSPORTATION
BIG SLOW COLD COLD WATER,ICEBURG OR GLACIER,GEOLOGICAL FEATURE
FAST WATER MACHINE ,SPEEDBOAT,ZOOM SPLASH
FAST WATER MACHINE FIRE,FIRE HOSE,HYDRANT
WATER PROCESS AIR,EVAPORATION,DRYING
AIR PROCESS WATER,CONDENSATION,REVERSE OF EVAPORATING
WATER FIRE PROCESS AIR,BOILING,BUBBLE BUBBLE
BIG BIG FAST EARTH MACHINE,TRAIN,TRANSPORTATION
FAST FAST EARTH MACHINE,SPORTS CAR,ZOOM ZOOM
FAST LOWERING,FALL,MOVEMENT
FAST LOWERING FIRE EARTH,METEOR,SHOWER BODY
BIG BIG AIR FAST FAST,HURRICANE OR TORNADO,SEVERE WEATHER
ANIMAL PROCESS SMALL BIG,GROWING,MATURING
TIME MACHINE ,TIME MACHINE,SCI FI
BIG BIG PEOPLE,GIANT,HAGRID
AIR MACHINE PEOPLE ,PILOT,OCCUPATION
SLOW TIME ANIMAL BIG PROCESS,EVOLUTION,DARWIN
BIG OUTSIDE EARTH ANIMAL,TREE,TIMBER
BIG BIG EARTH MACHINE PEOPLE,CITY,PLACE
SMALL TIME,MINUTE,WAIT A 
SMALL SMALL TIME,SECOND,TICK TOCK
RISING LOWERING TIME,DAY,SEIZE THE
BIG TIME,MONTH,WHATS YOUR SIGN
BIG BIG TIME,MONTH ,CALENDAR
BIG BIG BIG TIME,CENTURY,ONE HUNDRED
BIG EARTH OUTSIDE BIG EARTH,PLANETS,ASTRONOMY
BIG BIG FIRE OUTSIDE EARTH,SUN OR STAR,ASTRONOMICAL BODY
PEOPLE LOWERING EARTH,DEATH,BIOLOGICAL EVENT
BIG PEOPLE PROCESS MACHINE,CIVILIZATION,HUMAN WORK
TIME PEOPLE RISING,GROWING UP,DEVELOPING
AIR PROCESS EARTH BIG SMALL,WIND EROSION,GEOLOGICAL FEATURE
WATER PROCESS EARTH BIG SMALL,WATER EROSION,GEOLOGICAL FEATURE
COLD INSIDE PEOPLE,COLD OR FLU,ACHOO
FIRE INSIDE PEOPLE ,FEVER,ILLNESS
LOWERING AIR INSIDE PEOPLE,FART,BIOLOGICAL PROCESS
SMALL TIME MACHINE PEOPLE,WRIST WATCH,TECHNOLOGY
TIME MACHINE RISING,ALARM CLOCK,DAWN AND YAWN
FAST TIME OUTSIDE PEOPLE,FOOT RACE,EVENT
FAST OUTSIDE EARTH MACHINE TIME,CAR RACE,EVENT
BIG BIG TIME PROCESS OUTSIDE,SEASON,TIS THE
SLOW SLOW TIME INSIDE PEOPLE,BORED,TO TEARS
FAST FAST TIME INSIDE PEOPLE,FUN,TIME FLIES WHEN 
FAST PEOPLE TIME OUTSIDE,SPORTS,COMPETE
FAST PEOPLE TIME COLD OUTSIDE,WINTER SPORTS,COMPETE
TIME PROCESS INSIDE PEOPLE,MATURING,DEVELOPING
PEOPLE PROCESS INSIDE MACHINE ,COMPUTER,LAP OR DESK
PEOPLE PROCESS INSIDE MACHINE,PSYCHOLOGY,THINK OR FEEL
FAST PROCESS INSIDE PEOPLE,SMART,ADJECTIVE
RISING PROCESS INSIDE PEOPLE,HAPPY OR OPTIMISM,LOOKING UP
LOWERING PROCESS INSIDE PEOPLE,SAD OR PESSIMISM,FEELING DOWN
FAST FAST PROCESS INSIDE PEOPLE,GENIUS,GIFTED
FIRE PROCESS INSIDE PEOPLE,LOVE,KISSES
SMALL WATER PROCESS INSIDE PEOPLE,CRYING,EMOTION RESPONSE
TIME LOWERING LOWERING,ANCIENT HISTORY,GOOD OLD DAYS
TIME LOWERING LOWERING BIG ANIMAL,DINOSAUR,JURASSIC
TIME LOWERING,PAST OR HISTORY,TIME PERIOD
TIME RISING,FUTURE,TIME PERIOD
FAST MACHINE OUTSIDE EARTH,SPACESHIP,STAR WARS
OUTSIDE BIG BIG BIG AIR,OUTER SPACE,ASTRONOMY
OUTSIDE BIG BIG AIR PEOPLE,ASTRONAUT,OCCUPATION
EARTH ANIMAL PEOPLE,FARMER,OLD MCDONALD
BIG EARTH PEOPLE,GEOLOGIST,OCCUPATION
SMALL SMALL SMALL EARTH PEOPLE,CHEMIST,OCCUPATION
WATER MACHINE PEOPLE,SAILOR,OCCUPATION
FAST FAST EARTH MACHINE PEOPLE,RACE CAR DRIVER,OCCUPATION
