AGRICULTURE,APPLIED SCIENCE,FOOD ANIMAL FARM PLANT CULTIVATE,Agriculture is the process of producing food feed fiber and other desired products by cultivation of certain plants and the raising of domesticated animals,
AIRPLANE,APPLIED SCIENCE,AERONAUTICS AVIATION FLY TECHNOLOGY ENGINEERING,is a powered fixed-wing aircraft that is propelled forward by thrust from a jet engine or propeller,
BREAKTHROUGH,APPLIED SCIENCE,IDEA INNOVATION DEVELOPMENT PROGRESS DISCOVERY SUCCESS,A sudden dramatic and important discovery or development.,
BUS,APPLIED SCIENCE,TRANSPORTATION VEHICLE PEOPLE PUBLIC TRAVEL,A large motor vehicle carrying passengers by road especially one serving the public on a fixed route and for a fare.,
CELESTIAL NAVIGATION,APPLIED SCIENCE,STAR TRAVEL SUN MOON,The action of finding one's way by observing the sun moon and stars.,
COMPUTER 1,APPLIED SCIENCE,PROCESS INFORMATION CALCULATION TECHNOLOGY,An electronic device for storing and processing data.,
COMPUTER 2,APPLIED SCIENCE,PROCESS INFORMATION CALCULATION TECHNOLOGY,An electronic device for storing and processing data.,
COMPUTER CRASH,APPLIED SCIENCE,TECHNOLOGY FAIL BREAK ERROR,A crash (or system crash) in computing is when a computer program stops functioning properly.,
DATA,APPLIED SCIENCE,TECHNOLOGY COMPUTER PROCESS INFORMATION,Facts and statistics collected together for reference or analysis,
DIGITAL,APPLIED SCIENCE,COMPUTER DATA INFORMATION TECHNOLOGY,Expressed as series of the digits 0 and 1 typically represented by values of a physical quantity such as voltage or magnetic polarization.,
ELECTRIC CAR,APPLIED SCIENCE,AUTOMOBILE MOTOR ELECTRIC RENEWABLE ENERGY,An automobile that is propelled by one or more electric motors using electrical energy stored in batteries or another energy storage device.,
HYPOTHESIS,APPLIED SCIENCE,SCIENCE IDEA THOUGHT,A supposition or proposed explanation made on the basis of limited evidence as a starting point for further investigation.,
IDEA 1,APPLIED SCIENCE,THOUGHT INFORMATION INTELLIGENCE SCIENCE,A thought or suggestion as to a possible course of action.,
IDEA 2,APPLIED SCIENCE,THOUGHT INFORMATION INTELLIGENCE SCIENCE,A thought or suggestion as to a possible course of action.,
INFORMATION,APPLIED SCIENCE,FACT LEARN EDUCATION INTELLIGENCE DATA,Facts provided or learned about something or someone.,
INNOVATION,APPLIED SCIENCE,THOUGHT IDEA THEORY INVENTION,Introduction of new things or methods.,
JUDGE,APPLIED SCIENCE,THOUGHT OPINION CONCLUSION, Form an opinion or conclusion about.,
KEY,APPLIED SCIENCE,IMPORTANT CRUCIAL,Of paramount or crucial importance.,
LAW,APPLIED SCIENCE,FACT SCIENCE TRUTH INFORMATION,A statement of fact deduced from observation to the effect that a particular natural or scientific phenomenon always occurs if certain conditions are present.,
MACHINE 1,APPLIED SCIENCE,TECHNOLOGY SYSTEM FUNCTION FACTORY,An apparatus using or applying mechanical power and having several parts each with a definite function and together performing a particular task.,
MACHINE 2,APPLIED SCIENCE,TECHNOLOGY SYSTEM FUNCTION FACTORY,An apparatus using or applying mechanical power and having several parts each with a definite function and together performing a particular task.,
MEDICINE,APPLIED SCIENCE,HEALTH CURE TREATMENT,The science or practice of the diagnosis treatment and prevention of disease.,
METEOROLOGY,APPLIED SCIENCE,WEATHER ATMOSPHERE,The branch of science concerned with the processes and phenomena of the atmosphere especially as a means of forecasting the weather.,
NANOTECHNOLOGY,APPLIED SCIENCE,TECHNOLOGY SMALL MICROSCOPIC,The branch of technology that deals with dimensions and tolerances of less than 100 nanometers especially the manipulation of individual atoms and molecules.,
OCEAN AQUACULTURE,APPLIED SCIENCE,FOOD AGRICULTURE FARM FISH,The farming of aquatic organisms such as fish shellfish and even plants in the ocean.,
QUESTION,APPLIED SCIENCE,INFORMATION IGNORANCE SCIENCE,A sentence worded or expressed so as to elicit information.,
RICHTER SCALE,APPLIED SCIENCE,TECHNOLOGY SEISMOGRAPH EARTHQUAKE PLATE TECTONICS,A numerical scale for expressing the magnitude of an earthquake on the basis of seismograph oscillations.,
SCALE,APPLIED SCIENCE,WEIGH MASS HEAVY LIGHT,A musical scale; an instrument or machine for weighing.,
STEAM ENGINE,APPLIED SCIENCE,EARTH SCIENCE VAPOR WATER MOISTURE STEAM ENERGY,An engine that converts the heat energy of pressurized steam into mechanical energy.,
STEAM TURBINE,APPLIED SCIENCE,EARTH SCIENCE VAPOR WATER MOISTURE STEAM ENERGY STEAM ENGINE,A turbine in which a high-velocity jet of steam rotates a bladed disk or drum.,
TELECOMMUNICATIONS,APPLIED SCIENCE,COMMUNICATION TELEGRAPH TELEPHONE BROADCAST TECHNOLOGY,Communication over a distance by cable telegraph telephone or broadcasting.,
THEORY,APPLIED SCIENCE,SCIENCE IDEA THOUGHT HYPOTHESIS,A supposition or a system of ideas intended to explain something especially one based on general principles independent of the thing to be explained.,
TRANSATLANTIC COMMUNICATION,APPLIED SCIENCE,TELECOMMUNICATION TELEGRAPH COMMUNICATION,An undersea cable running under the Atlantic Ocean used for telegraph communications.,
TRANSCONTINENTAL RAILROAD,APPLIED SCIENCE,TRAVEL TRAIN TRANSPORTATION TECHNOLOGY,A train route across the United States finished in 1869.,
TURBINE,APPLIED SCIENCE,HYDROELECTRIC ENERGY GENERATOR,A machine for producing continuous power in which a wheel or rotor typically fitted with vanes is made to revolve by a fast-moving flow of water steam gas air or other fluid.,
WATER WELL,APPLIED SCIENCE,WATER WELL WATER GROUNDWATER AQUIFER,An excavation or structure created in the ground by digging driving boring or drilling to access groundwater in underground aquifers.,
ASTEROID,ASTRONOMY,ROCK ORBIT OUTER SPACE SUN METEOR SOLAR SYSTEM,A small rocky body orbiting the sun.,
COMET,ASTRONOMY,ICE DUST ROCK GAS OUTER SPACE ORBIT,A celestial object consisting of a nucleus of ice and dust and when near the sun a “tail of gas and dust particles pointing away from the sun.,
CONSTELLATION 1,ASTRONOMY,STAR OUTER SPACE GREAT BEAR URSA MAJOR,A group of stars forming a recognizable pattern that is traditionally named after its apparent form or identified with a mythological figure.,
CONSTELLATION 2,ASTRONOMY,STAR OUTER SPACE GREAT BEAR URSA MAJOR,A group of stars forming a recognizable pattern that is traditionally named after its apparent form or identified with a mythological figure.,
GALAXY,ASTRONOMY,STARS OUTER SPACE GRAVITY,A large system of stars held together by mutual gravitation and isolated from similar systems by vast regions of space.,
ORBIT,ASTRONOMY,REVOLUTION OUTER SPACE REVOLVE GRAVITY,The curved path of a celestial object or spacecraft around a star planet or moon especially a periodic elliptical revolution.,
OUTER SPACE,ASTRONOMY,OUTER SPACE UNIVERSE GALAXY CONSTELLATION,The physical universe beyond the earth's atmosphere.,
PLANET,ASTRONOMY,SOLAR SYSTEM ROCK OUTER SPACE,Also called major planet. any of the eight large heavenly bodies revolving about the sun and shining by reflected light.,
PLANET EARTH,ASTRONOMY,SOLAR SYSTEM OUTER SPACE,The planet on which we live; the world.,
PLANET JUPITER,ASTRONOMY,SOLAR SYSTEM OUTER SPACE,The planet fifth in order from the sun it is the largest planet in the solar system.,
PLANET MARS,ASTRONOMY,SOLAR SYSTEM OUTER SPACE,The planet fourth in order from the sun name derived from the ancient Roman god of war.,
PLANET MERCURY,ASTRONOMY,SOLAR SYSTEM OUTER SPACE,The planet nearest the sun the smallest planet in the solar system named after the Roman god who served as a messenger.,
PLANET NEPTUNE,ASTRONOMY,SOLAR SYSTEM OUTER SPACE,The planet eighth in order from the sun named after the ancient Roman god of the sea.,
PLANET SATURN,ASTRONOMY,SOLAR SYSTEM OUTER SPACE,The planet sixth in order from the sun encompassed by rings.,
PLANET URANUS,ASTRONOMY,SOLAR SYSTEM OUTER SPACE,The planet seventh in order from the sun a gas giant.,
PLANET VENUS,ASTRONOMY,SOLAR SYSTEM OUTER SPACE,The planet second in order from the sun named after the Roman goddess of love and beauty.,
STAR,ASTRONOMY,OUTER SPACE UNIVERSE GALAXY CONSTELLATION,A fixed luminous point in the night sky that is a large remote incandescent body like the sun.,
THE MOON,ASTRONOMY,SATELLITE ROCK NIGHT,The natural satellite of the earth visible by reflected light from the sun.,
AMPHIBIAN,BIOLOGY,ANIMAL FROG TETRAPOD AQUATIC CLASS,A cold-blooded vertebrate animal of a class that comprises the frogs toads newts and salamanders. They are distinguished by having an aquatic gill-breathing larval stage followed (typically) by a terrestrial lung-breathing adult stage.,
